Political_ID,Name_Political,Date_Political,Headline_Political,Description_Political
565,government+policy,2015-07-13,Standard & Poor’s upgrades Ireland’s sovereign debt," Jim Power calls for a general election by April 2016 and urges government to prioritise economics over politics   
            "
566,government+policy,2015-07-08,Numbers signing on Live Register fall again in May," NESC  report  shows how much hard thinking needs to be done  on housing policy   
            "
567,government+policy,2015-07-08,"Fiscal Advisory Council warns on budget, OECD flags property","   European Commissioner defends viability of Juncker Plan, which  aims to change financial landscape of EU  
            "
568,government+policy,2015-07-06,Germany to sell 30-year bonds for first time," Data shows persistent economic weakness that requires increased policy support   
            "
569,government+policy,2015-07-03,Political uncertainty threatens Ireland’s recovery," If the ECB succeeds with its endeavours and so the recovery continues to gain pace, then bond yields should rise a great deal   
            "
570,government+policy,2015-06-30,"John FitzGerald: The bigger the population, the greater the housing need","   Mining and  tourism present opportunities, but many will resist the ailing economy and 51%   indigenisation law 
            "
571,government+policy,2015-06-30,Katainen  comes out fighting during ‘investor roadshow’  ," London Briefing: Bank of England quarterly inflation report follows strong industrial output figures   
            "
572,government+policy,2015-06-18,China's factory activity shrinks for third month," Most economists do not expect the BoE to raise interest rates   
            "
573,government+policy,2015-06-17,Is the bull market’s bellow softening?," Spike in corporation tax revenue fails to offset disappointing figures for VAT and Dirt tax   
            "
574,government+policy,2015-06-10,"There are barriers, but investing in Zimbabwe could pay off long term"," Figures add to concerns of economy slowing to post global crisis low   
            "
575,government+policy,2015-06-10,Mark Carney expected to warn markets on interest rate rise timing," Coalition strategy secures approval but concerns expressed over future growth    
            "
576,government+policy,2015-06-09,Bank of England keeps rates steady before inflation update," Athens reconfigures its negotiation team as talks with creditor countries restart    
            "
577,government+policy,2015-06-05,April tax take below target but 2015 still ahead of schedule," The number of Americans without health insurance has fallen by about 15 million   
            "
578,government+policy,2015-06-05,China data shows biggest drop in factory activity in a year," Tax receipts will beat targets by €2bn, pointing to ‘leeway’ for focused budget giveaways   
            "
579,government+policy,2015-06-04,IMF sounds warning note over economic recovery,"   Spectacular growth in commercial property is sparking bubble fears and posing a threat to FDI  
            "
580,government+policy,2015-06-03,Optimism is growing  for a deal with Greece," Gross domestic product grew an annual 7 per cent in the first quarter   
            "
581,government+policy,2015-06-03,Obamacare proves to be in rude health despite critics’ predictions," Major reform of tax system would require a strong government   
            "
582,government+policy,2015-05-26,"Irish economy in ‘sweet spot’, says Goodbody"," Smaller trade surplus of $3.1 bn recorded last month   
            "
583,government+policy,2015-05-22,Lack of space and explosive rise in office rents could lead to big losses ," Fresh concerns over side effects of ECB bond-buying programme   
            "
584,government+policy,2015-05-21,China growth slows to 6 year low as stimulus fails to find traction," It is not just Greece we have to worry about  – the UK election is likely to lead to a brand new political landscape   
            "
585,government+policy,2015-05-20,Unpopularity of job-friendly taxes makes for policy quandary," Revenue exceeds target for first quarter by €545m, sparking further calls for tax cuts    
            "
586,government+policy,2015-05-18,China’s March exports shrink 15%  in surprise fall," Europe wouldn’t like it and Moscow can’t really afford it, but Athens is increasingly desperate    
            "
587,government+policy,2015-05-13,ECB bond-buying   sees German 10-year yields heading below zero," Euro zone officials reject request for more loans before critical reforms in place   
            "
588,government+policy,2015-05-11,Complacency is the enemy as we nurture our recovery ," Economic recovery continuing, bank says, but cautions against fanning of cyclical pressures   
            "
589,government+policy,2015-05-05,Tax returns confirm growth ahead of expectations," Ireland may be able to recover about half of the very large sum needed to recapitalise the banks    
            "
590,government+policy,2015-05-04,Greece looks to Putin as standoff in EU puts repayment in doubt," Poor reading adds to signs economy has lost momentum despite two interest rate cuts     
            "
591,government+policy,2015-05-02,"We’ll run out of cash by April 9th, Greece tells creditors "," End of annual parliament in China prompts reform calls   
            "
592,government+policy,2015-05-01,Central Bank warns Government over fiscal stance,"   Last year’s inconclusive budget  stymies business as  emphasis in Australia shifts from ‘mining to dining’ 
            "
593,government+policy,2015-04-28,John FitzGerald: Time to build on our economic turnaround ," Minister believes Ireland is not beginning a new property boom   
            "
594,government+policy,2015-04-20,Chinese manufacturing activity unexpectedly hits 11-month low," Those betting on inflation jumps and a bond-market rout will be disappointed   
            "
595,government+policy,2015-04-17,St Patrick’s Day and China’s NPC offer insights into Ireland’s relationship with Asia," Martin Wolf: Government  making sensible  reforms   
            "
596,government+policy,2015-04-15,Australian economy enters troubled waters," Euro falls below 71 pence for  first time since December 2007 to trade at 70.95 pence   
            "
597,government+policy,2015-04-14,French conservatives say they have a lot to learn from Ireland’s experience," Countries that prioritise education see the benefits decades later   
            "
598,government+policy,2015-04-13,Martin Wolf: ultra-low interest rates are not a plot by central bankers," ‘Brexit’ would raise questions over the sustainability of the European system itself   
            "
599,government+policy,2015-04-13,Improving economy makes India a rising force," European Central Bank revises growth forecast upwards   
            "
600,government+policy,2015-04-06,Sterling reaches seven-year high against euro ," Clamour to relax its stringent fiscal stance will increase   
            "
601,government+policy,2015-04-03,How our education system affects the economy of the future ," Reunification came at a significant cost to the German economy in the short term   
            "
602,government+policy,2015-04-03,Ireland cannot avoid fallout from any British exit from the EU ," Low wages are a political choice and we can and should choose differently   
            "
603,government+policy,2015-04-02,ECB to start bond-buying programme next week," The mantra of ‘political stability’ will be at the centre of the coming election campaign   
            "
604,government+policy,2015-04-01,Returns augurs well for Government prior to ‘spring statement’," Carney says BoE aiming to bring inflation back to 2% target   
            "
605,government+policy,2015-03-31,The pathway to Germany’s low unemployment," Letter followed announcement of initiative  to aid first-time buyers with their   deposits   
            "
606,government+policy,2015-03-24,Wal-Mart policy of raising wages should inspire others,"   Focus on fiscal probity, political stability and banking recovery against backdrop of Greek drama  
            "
607,government+policy,2015-03-24,Stability held out as pledge to appease political economy," Some central bankers argued that QE should be more limited   
            "
608,government+policy,2015-03-20,BoE chief Carney  warns of possible impact of Grexit ,"  Varoufakis expects a deal with Europe on  bailout to come together in next 48 hours    
            "
609,government+policy,2015-03-20,Honohan wrote to Noonan to complain about mortgage insurance plan," January marked 11th straight month of job gains above 200,000, the longest streak since 1994   
            "
610,government+policy,2015-03-18,View from the outside: how international bond market investors see Ireland’s recovery ," Analysis: The next few weeks will see if troika and EU are willing to bend in the name of European solidarity   
            "
611,government+policy,2015-03-11,ECB minutes show official warned of risks of delaying money printing," Most observers believe Greece could find the €4.3bn it needs to pay the IMF next month    
            "
612,government+policy,2015-03-10,Greece rejects eurogroup proposal as ‘totally unacceptable’ ," Foreign direct investment is vital to jobs but the real source of growth is indigenous    
            "
613,government+policy,2015-03-10,"Strong US job, wage gains open door to mid-year rate hike"," Ratings agency says risks arising from banking sector have reduced   
            "
614,government+policy,2015-03-06,Greece races against the clock for debt solution," Analysts expecting possible additional cut to 2% at next policy meeting   
            "
615,government+policy,2015-03-05,Martin Wolf: a deal to bring modernity to Greece," Latest instalment of Action Plan for Jobs unveiled in Dublin   
            "
616,government+policy,2015-03-03,Home-grown business is driving the recovery more strongly than multinationals ," Bank of England governor says Irish economy has fixed the core of its banking   
            "
617,government+policy,2015-03-03,Irish recovery on-track but growth to slow down - Moody’s," Central bank says  US economy is expanding at a ‘solid’ pace    
            "
618,government+policy,2015-03-03,Australia central bank cuts rates to historic low of 2.25%," Li Keqiang tries to soothe fears of a hard landing in world’s second-biggest economy   
            "
619,government+policy,2015-02-27,Government announces new measures to boost job creation," European Union leaders and policymakers respond to  Syriza’s election victory    
            "
620,government+policy,2015-02-24,Mark Carney: Ireland has made tremendous progress," Jeroen Dijsselbloem says changes possible with the Athens adjustment programme   
            "
621,government+policy,2015-02-20,Federal Reserve remains patient over rates hike," Might of ECB has unleashed Quantitative Easing  to fight  deflationary spiral   
            "
622,government+policy,2015-02-20,Don’t worry about slowing GDP growth says China’s premier ," ECB unveiled landmark €60bn-a-month plan to spark euro zone recovery
            "
623,government+policy,2015-02-19,"EU open to Greek debt extension, not forgiveness"," Beijing misses growth target as property prices cool  and companies  struggle under  debt burdens   
            "
624,government+policy,2015-02-16,Eurogroup chief hints at ‘wriggle room ’ over Greek debt," Address by Governor Patrick Honohan to the IMF-CEPR-Central Bank of Ireland Conference, Dublin Castle   
            "
625,government+policy,2015-02-06,Analysis: Draghi takes action to spark euro zone back to life," Pressure on ECB president to press QE button at policy meeting on Thursday   
            "
626,government+policy,2015-02-06,Markets rally after ECB chief announces bond-buying," ECB bows to German pressure to ensure its taxpayers are not liable for any losses incurred on other countries’ debt   
            "
627,government+policy,2015-02-04,China’s economy grows at  slowest pace in 24 years ," ECB official advises Ireland to keep finances on prudent track   
            "
628,government+policy,2015-02-03,Honohan address: ‘some lessons learnt from the EU-IMF Programme’," ‘Ireland has potential to be the fastest-growing euro zone country in 2015’   
            "
629,government+policy,2015-02-03,Mario Draghi’s quantitative tease shows signs of finally ending," Executive  discusses budgets, bondholders, Trichet letters and banking inquiries   
            "
630,government+policy,2015-02-03,ECB set to unveil on Thursday policy of mass bond-buying," European Court of Justice deems scheme to fall within EU treaty ‘monetary policy’   
            "
631,government+policy,2015-01-29,Transcript of interview with Benoît Cœuré," Opinion has significant implications for ECB ahead of introduction of Quantitative easing (QE)   
            "
632,government+policy,2015-01-29,"State must keep finances prudent, says  ECB official  "," To keep pace with competing jurisdictions Ireland must increase its capital spending Council says   
            "
633,government+policy,2015-01-29,Benoit Coeuré interview: ECB advises Ireland to be ‘as conservative as possible’," Analysts believe reform needs to accompany spending to boost world’s second biggest economy   
            "
634,government+policy,2015-01-27,"OMT ‘in principle’ compatible with EU law, says European court"," New data suggest world’s second-largest economy still faces formidable headwinds    
            "
635,government+policy,2015-01-26,Bond-buying programme compatible with EU law says ECJ," European currency now  at lowest level since March 2006 as it extends its loss over the past year to 12 per cent   
            "
636,government+policy,2015-01-23,Competitiveness Council calls for investment in infrastructure," Prime Minister Shinzo Abe has been encouraging Japanese women to have it all 
            "
637,government+policy,2015-01-23,China accelerates €950 billion worth of infrastructure projects to shore up growth," ECB   worries that due to crisis people are adapting spending and prolonging weak growth    
            "
638,government+policy,2015-01-22,China’s inflation    near five-year low as property slump persists," Lithuanians still underwhelmed about joining the euro on January 1st despite its many benefits   
            "
639,government+policy,2015-01-20,Euro weakens to near nine-year low," Core consumer price index (CPI) increased 2.7% last month   
            "
640,government+policy,2015-01-19,Japan turns to supermums to rescue economy," New figures show prices nationally are still continuing to rise   
            "
641,government+policy,2015-01-19,European Central Bank may need to do more to boost economy," Yuletide emerging as a part of the retail calendar   
            "
642,government+policy,2015-01-17,‘We are joining the losing club’," Russia struggles to come to terms with perfect storm of sanctions and falling  oil prices   
            "
643,government+policy,2015-01-16,Japan inflation slows and output slips in November," Government should be congratulated for its courage and luck on bailout exit strategy   
            "
644,government+policy,2015-01-16,Dublin house prices fall ahead of new lending restrictions," Borrowing costs continue to fall despite the  surge in support for anti-establishment forces   
            "
645,government+policy,2015-01-16,Economic uncertainties ahead as China embraces Christmas," ‘Big Four’ accounting firms arranged tax deals for companies   
            "
646,government+policy,2015-01-15,Failure to diversify and Ukraine belligerence now haunt Putin," Things finally looking better for American workers but this improvement comes after years of suffering   
            "
647,government+policy,2015-01-14,Timing an important aspect when considering growth ," Agency expects economy to grow by more than foreseen   
            "
648,government+policy,2015-01-13,Simmering political drama leaves markets unperturbed," Calls for Government wean renewable energy sector off State support 
            "
649,government+policy,2015-01-13,New leak reveals Luxembourg tax deals for Disney and  Koch brothers ," The rise in population means  we need to increase the supply of homes to rent and to buy   
            "
650,government+policy,2015-01-09,Paul Krugman: slow recovery stems from catatonic policy of self-serving US conservative politicians ," Warnings from various quarters  indicate  new fiscal plan is not quite risk-free   
            "
651,government+policy,2015-01-05,Standard & Poor’s upgrades Ireland’s debt rating," Bank wants to increase size of its balance sheet to round €1 tn higher than it is currently   
            "
652,government+policy,2015-01-02,National Competitiveness Council in wind power warning," Automated submissions against the proposed free trade deal have delayed progress   
            "
653,government+policy,2015-01-01,Housing shortages and rising rents   result of  failure to plan for growing population," Paris-based think-tank says Irish economy ‘very vulnerable’ to external shocks   
            "
654,government+policy,2014-12-31,Government’s capacity for   corrective reforms has died," Fiscal strategy is important in order to guide decisions of political parties and wider public   
            "
655,government+policy,2014-12-26,"ECB may decide on  bond buys shortly, says Constancio"," Rousseff made great political capital by attacking the elite but may need to reach out to them to overcome recession   
            "
656,government+policy,2014-12-23,Online protest delays EU plan to resolve US trade row," Despite Abenomics Japan is now in its fourth recession since 2008    
            "
657,government+policy,2014-12-23,OECD warns Ireland over ‘premature’ shift from austerity," Coalition faces tough talks on water charge fiasco, property policy and banks among other issues   
            "
658,government+policy,2014-12-19,Getting Ireland’s budget balance right," Mario Draghi defends 2010 threat to pull emergency Irish banking funding    
            "
659,government+policy,2014-12-15,Brazilian president forced to backtrack as fiscal pressure grows ever greater," EU-IMF team return to Dublin next week for second post-bailout inspection of year   
            "
660,government+policy,2014-12-12,Japan’s efforts to turn tide of population loss not paying off," From moment of  bank guarantee,  Ireland’s economic fate was tied to   troika   
            "
661,government+policy,2014-12-09,Troika returns to address unfinished business," Full text: November 2010 letter threatened to cut off emergency funding from Irish banking system unless Ireland applied for bailout   
            "
662,government+policy,2014-12-09,"ECB will not formally participate in banking inquiry, says Draghi"," Dollar jumps as world’s third-largest economy acts days after  Fed ends  stimulus   
            "
663,government+policy,2014-12-05,Troika to raise property market policies and  water debacle," Guage heading for largest weekly advance in 18 months    
            "
664,government+policy,2014-12-03,Jean-Claude Trichet and the Irish bailout: A timeline," Economy grew at its slowest pace since the global financial crisis in the September quarter    
            "
665,government+policy,2014-12-02,Jean Claude Trichet letter to Brian Lenihan," Despite pressure on  shares and weak inflation figures, political leaders remain firm   
            "
666,government+policy,2014-11-28,Bank of Japan stuns markets with  move to expand quantitative easing," ‘The road we have travelled to get to this point has been very difficult and the Irish people have made major sacrifices’   
            "
667,government+policy,2014-11-26,Asian market responds positively to Japanese stimulus , with a pro-rata increase on other tobacco products. This will bring the price of cigarettes in the Most Popular Price Category to €10. In addition
668,government+policy,2014-11-26,World Bank urges China to cut economic growth target , our public finances would not now be under control and our economy would not be growing. I believe this Budget is the right approach for Ireland at this point in our recovery.
669,government+policy,2014-11-25,"Merkel, Draghi refuse to panic over market wobbles", and creates job opportunities. A road that delivers high quality public services. A road on which our citizens have certainty about their incomes and can plan for the future without fear of another bust. A new road to a new Ireland.
670,government+policy,2014-11-25,Full text: Michael Noonan’s Budget 2015 speech  ," Hard hit by recession, local people are hoping for a lift   
            "
671,government+policy,2014-11-24, the price of 20 cigarettes will increase by 40 cents," Investors are hoping the worsening economic climate will force more ECB stimulus measures    
            "
672,government+policy,2014-11-21, assist local business and retailers and drive growth right across the country.," Clash centres on how much more stimulus the ailing euro-area economy needs from the European Central Bank   
            "
673,government+policy,2014-11-18, have travelled a long road to get to this point. Managing an economy is not just about numbers. Without the support and resilience of the Irish people," The services purchasing managers’ index (PMI) back to 53.5 from a 17-month high of 54.1 in August   
            "
674,government+policy,2014-11-17, take the road “less travelled by”? A road whose milestones are prudence and caution. A road that delivers stable economic growth. A road that encourages investment. A road that rewards work," Department representatives to set out projections to Oireachtas committee   
            "
675,government+policy,2014-11-13,Our Budget 2015 town: What Thurles thinks," Opinion: Increasing investment in key infrastructure projects (such as social housing) and in education would  strengthen the country’s balance sheet   
            "
676,government+policy,2014-11-06,Bond yields hold near record lows after S&P downgrades," Bank of England asks for more powers to rein in home loans, buy-to-let borrowing   
            "
677,government+policy,2014-11-06,Draghi-Weidmann fight intensifies as ECB debates action," Eurostat says  consumer prices  0.3 per cent in September, slowing from 0.4 per cent    
            "
678,government+policy,2014-11-01,China services sector growth weakens slightly," Government figures have been ‘managing expectations’ on  the Budget . What’s likely to happen? The first in a three-part series   
            "
679,government+policy,2014-10-31,Advisory body to deliver verdict on budget forecasts," Opinion: safest course in budget would be to implement final part of Troika plan    
            "
680,government+policy,2014-10-29,Budget 2015: How much leeway is there for tax cuts or spending increases?," Overseas businesses  push back against what they see as unfair antitrust enforcement by Beijing   
            "
681,government+policy,2014-10-16,BoE backs flagship government mortgage guarantee scheme," Opinion: too many influential economists performed poorly after financial crisis    
            "
682,government+policy,2014-10-14,Euro zone inflation numbers pile more pressure on ECB," The European project is a failed marriage, and only a radical reappraisal of the union – political and, above all, fiscal – can prevent a messy divorce    
            "
688,government+policy,2014-10-14,Key economic posts in Commission given to France and Britain," Almost six years after the economic crisis began, Europe cannot afford to face into a prolonged period of stagnation    
            "
689,government+policy,2014-10-13,Is China’s property bubble about to burst?," Sterling fell slightly after the bank’s decision, hitting a new seven-month low against the dollar   
            "
690,government+policy,2014-10-13,Opportunity for Republic in low interest rates," Central Bank says world’s third-biggest economy 'continues to recover moderately as a trend'   
            "
691,government+policy,2014-10-08,Draghi makes his move," World Economic Forum’s latest survey paints mixed picture of Ireland’s economy   
            "
692,government+policy,2014-10-07,US employment growth slows sharply in August," Opinion: It has important implications for the  budget in October    
            "
693,government+policy,2014-10-04,Deflation threatens to derail Euro recovery," Business Opinion: US-style quantitative easing is not the answer to Europe’s problems   
            "
694,government+policy,2014-10-02,Bank of England holds rates despite robust recovery," Despite weak signs in the economy, the BOJ is optimistic that a tightening job market will lead to higher wages   
            "
695,government+policy,2014-09-30,Kuroda upbeat on economy as BOJ leaves policy on hold," PMI surveys show manufacturing and services industry growth slowing despite price cutting   
            "
696,government+policy,2014-09-30,Ireland moves up three places in competitiveness rankings," Two MPC members vote for rate rise breaking three year unanimity    
            "
697,government+policy,2014-09-22,The euro crisis looks set to enter a critical new phase this autumn," Price growth falls in July as separate report shows UK house-price growth slows to 10.2 per cent 
            "
698,government+policy,2014-09-16,Could new ECB policy do more harm than good? ," The ECB has signalled that it is safe to bet against the inflation target    
            "
699,government+policy,2014-09-16,Japan household spending slumps in  month of July," There are many  ways in which dominant businesses can harm us   
            "
700,government+policy,2014-09-13,Business growth in Europe and China slows," Patchy labour market recovery means variations in income growth between regions    
            "
701,government+policy,2014-09-10,BOE policymakers break rank over interest rates," Opinion: Government should resist the temptation to try to stimulate consumer spending by bringing the programme of fiscal adjustment to a premature end in the  budget   
            "
715,government+policy,2014-08-19,China’s manufacturing  expands for the first time in six months," British house prices are rising at their fastest rate since the eve of the financial crisis   
            "
716,government+policy,2014-08-18,Britain may cap mortgage-income ratio to calm market," Lack of proper euro government bond market is why euro experiment is a mess   
            "
717,government+policy,2014-08-13,Ireland: an economic snapshot," Opinion: Mexico’s  ‘productivity puzzle’ provides remarkable contrast with other emerging economies   
            "
718,government+policy,2014-08-13,China  data shows growth steadying but recovery patchy," Market access and regulatory barriers cost EU businesses €21.3 billion   
            "
719,government+policy,2014-08-09,US recoups jobs lost in recession as economy picks up," Opinion: There’s a need to strengthen public service and beef up job supports and investment in local firms    
            "
720,government+policy,2014-08-07,IMF tells Britain to rein in riskier mortgages to cool market," Financial Times claims book contains errors that undermine large parts of inequality thesis   
            "
721,government+policy,2014-07-22,Another missed opportunity in the EU’s monetary mess," Chris Johns says growth has been positive for a year now and momentum is expected to continue, perhaps helped by that ECB easing   
            "
722,government+policy,2014-07-10,Boldness of Mexican economic strategy offers lesson for India," The recovery in confidence is too fragile, and the revival of growth too feeble    
            "
723,government+policy,2014-07-04,European firms say ‘Golden Age’  in China is over," Minister says helping first-time buyers to get mortgages will stimulate the construction sector   
            "
724,government+policy,2014-07-04,How to avoid the mistakes of the  Celtic tiger ," But Britain’s economic recovery is picking up speed and house prices are rising strongly   
            "
725,government+policy,2014-07-03,‘Rock star’ economist Piketty defends data in best-selling book ," Governments need to use their balance sheets to build productive assets   
            "
726,government+policy,2014-06-27,Continuing US and British recovery will benefit us," Some challenges remain despite the nation’s remarkable turnaround   
            "
727,government+policy,2014-06-24,Time for Mario Draghi to open the sluice," Opinion: We now need to build new homes and get banks to fund property development    
            "
728,government+policy,2014-06-23,Noonan dismisses fears of housing bubble,"   An   OECD meeting this week reflected the developing view that the digital economy can’t be ringfenced for tax purposes 
            "
729,government+policy,2014-06-17,Bank of England sticks with low rates even as recovery builds," Short-term money market rates rise as excess liquidity falls to below €100m for first time since 2011   
            "
730,government+policy,2014-06-14,Banks will still veer towards cheap money," Current market conditions attract lots of commentators prepared to spot another period of insanity    
            "
731,government+policy,2014-06-13,Portugal’s bailout exit would have been unthinkable just six months ago," Strong policy actions needed to turn corner from financial crisis, says organisation   
            "
732,government+policy,2014-06-06,What’s driving the rapid property price rise?," Accelerated sell-off of long-term bonds would prove costly for State coffers   
            "
733,government+policy,2014-06-06,Net closing on tax affairs of multinationals," Business group revises upwards consumer spending and economic forecasts 
            "
734,government+policy,2014-06-06,Cash drop in the euro zone adds to impetus for ECB action," Data provides further evidence the economy is shifting into higher gear after brutally cold winter   
            "
735,government+policy,2014-06-04,Bubble spotting in bond markets may be a wasteful endeavour,"   Four years after the country became the first in the euro zone to seek an EU-IMF bailout, its economy might just be turning a corner 
            "
736,government+policy,2014-06-03,IMF warns of impact of low interest rates on recovery," National Competiveness Council issues stark warning about country’s cost base   
            "
737,government+policy,2014-05-29,Playing for time in Ireland’s €20 billion ‘game changer’," Positive comments are boost for government, which hopes to return to markets earlier than planned   
            "
738,government+policy,2014-05-26,"Irish economy ‘on way back’, says Ibec economist"," Economics: Normalisation of US and British economies  points to serious ECB policy errors    
            "
739,government+policy,2014-05-16,US maintains solid job growth pace as winter fades," Opinion: Bad debts of SMEs threaten employment, while cuts in number of academics jeopardise third level    
            "
740,government+policy,2014-05-14,Greece hopes it can wave goodbye to austerity era," Growth in investment, retail sales and factory output all hit multi-year lows    
            "
741,government+policy,2014-05-14,Deteriorating competitiveness 'threatening recovery'," Former US Federal Reserve chairman clings to notion that economic policy can be deduced from a priori axioms    
            "
742,government+policy,2014-05-08,"S&P affirms Greece’s credit rating, citing rebalancing economy"," Flexibile goals in order once labour market stays stable   
            "
743,government+policy,2014-05-07,Europe seems determined to replicate Japanese slump ," Ombudsman claims bank blocked disclosure of letter that ‘bounced’ Ireland into bailout   
            "
744,government+policy,2014-05-06,Morgan Kelly warns our real economic crisis will begin if ECB credit stops ," The realities behind the myths   
            "
745,government+policy,2014-04-26,"China’s economy slows markedly, latest figures show","   Central bank expects consumer price rises to accelerate slowly but still to miss target 
            "
746,government+policy,2014-04-25,Greenspan is too scientific in seeking truth about terrain ," Hundreds of thousands of Irish mortgage holders left disappointed by Frankfurt’s decision    
            "
747,government+policy,2014-04-24,Asia Briefing: China finance chiefs at Congress warn against obsession with growth targets," But Halifax surveys conflicts with data last week that indicated house prices were slowing    
            "
748,government+policy,2014-04-22,O’Reilly hits out at ECB for lack of transparency on Irish bailout," Core inflation at five-year high, labour demand improving and spending rising   
            "
749,government+policy,2014-04-10,Six core beliefs that are too often passed off as fact," Hryvnia falls 4% today as fear grows over financial support needed to repay debt   
            "
750,government+policy,2014-04-08,ECB  keeps interest rates unchanged," UK inflation has dropped below the Bank of England’s target for the first time in over four years   
            "
751,government+policy,2014-04-07,"ECB rate change unwarranted, says Draghi"," Minister tells OECD the ‘priority will be to widen the average rate band of income tax’   
            "
752,government+policy,2014-04-04,UK house prices see ‘fastest growth in five years’ ," Yellen says US central bank will keep close eye on labour market indicators 
            "
753,government+policy,2014-04-04,Japan’s factory output jumps ahead of sales tax hike,"
"
754,government+policy,2014-04-01,Ukraine currency at record low as uncertainty mounts," Markets are pricing in at least some chance of a rate hike late this year   
            "
755,government+policy,2014-03-21,Sterling falls as inflation dips below targets," ECB chief was speaking after Frankfurt left its key lending rate unchanged at 0.25%   
            "
756,government+policy,2014-03-21,"Income tax cuts to stimulate jobs on cards, says Noonan"," Euro zone’s higher-yielding bonds have been  resilient to  pull-back in riskier assets   
            "
757,government+policy,2014-03-14,New Fed chief says US will continue to reduce stimulus," Losses in US stocks deep after  announcement, while US government debt prices rise
            "
758,government+policy,2014-03-13,Asia Briefing: Resilient Thailand struggles on ," Developing countries under pressure to follow suit to prevent investors exiting   
            "
759,government+policy,2014-03-12,Bank of England holds fire ahead of guidance revamp," Citigroup economist Willem Buiter suggests Government should withhold support for euro area bank resolution authority   
            "
760,government+policy,2014-03-11,Draghi vows to take action if outlook for inflation worsens ," Slower but more sustainable investment growth for China in 2014 as policy-makers focus on  domestic consumption   
            "
761,government+policy,2014-03-07,Italian debt in demand amid emerging market turmoil," And the prize for the winning idea? An internship with the Department   
            "
762,government+policy,2014-03-07,US Fed cuts $10bn more from stimulus programme,"
"
763,government+policy,2014-03-07,Emerging markets slump despite Turkey and South Africa rate hikes ," Flagship policy linking interest rates to unemployment will be set aside   
            "
764,government+policy,2014-03-06,Ireland urged to play ‘hardball’ to get a deal on legacy bank debt," New climate change package could undermine Government’s rationale for pylons   
            "
765,government+policy,2014-03-06,Leaner times may lie ahead for second-largest  economy," Knowledge of economic history helped Bernanke halt a terrifying panic, but he also made mistakes   
            "
766,government+policy,2014-02-28,Cantillon: Department of Finance turns to students for ideas," Despite upbeat forecast, economics body warns spectre of deflation could derail recovery   
            "
767,government+policy,2014-02-26,Full transcript of Weidmann interview," Euro zone deflation, US tapering, Japanese reforms, China’s bubble all pose major threats 
            "
768,government+policy,2014-02-18,U-turn over Bank of England’s key policy," Euro drops to lowest level in a year against pound following Draghi’s remarks   
            "
769,government+policy,2014-02-18,European Commission scraps renewable energy targets," Opinion: In the short term there is a prospect of a spurt of growth but attention needs to be paid to sowing the seeds of long-term prosperity   
            "
770,government+policy,2014-02-11,"Bernanke saved the day, but unresolved questions remain about central banking"," Total debt issued will rise to €242.4bn this year, but interest paid on bonds has fallen    
            "
771,government+policy,2014-02-11,IMF raises global growth forecast for first time in nearly two years," The Earth’s topography has changed as a result of earthquakes, tectonic shifts and the deposit of sediment   
            "
772,government+policy,2014-02-06,"Davos dilemma: how to help, not harm, world’s fragile recovery"," Wolfgang Münchau: It was not designed as a geopolitical instrument
            "
773,government+policy,2014-02-06,Diverging paths of central banks made clear by ECB leaving door ajar on easing," Former IMF official to run technocratic government after collapse of populist coalition
            "
774,government+policy,2014-01-30,High mobility of capital and technology means prospects of economy are unclear," Yields on 10-year Italian debt rise to their highest level since March 2017
            "
775,government+policy,2014-01-29,New bond issue will push Spanish government debt up to 100% of GDP," Friends First economist Jim Power sees no sign of slowdown in property market
            "
776,government+policy,2014-01-29,Coastal living should be at your own risk," NTMA planning to sell €1 billion of bonds on Thursday
            "
777,government+policy,2014-01-28,Euro must be made more robust to rival the dollar," The Central Bank governor could finally secure an ECB executive board seat for Ireland
                    "
778,government+policy,2014-01-28,Markets hit as Carlo Cottarelli named as Italy’s new prime minister," Euro-area finance ministers agree to disburse €6.7 billion in aid starting in February
            "
779,government+policy,2014-01-25,Fresh sell-off in Italian debt ends day-long calm," John FitzGerald: Deal struck on Friday is ambiguous to cover fact that UK’s future course is undecided
                    "
780,government+policy,2014-01-24,House prices forecast to rise by 10% in 2018," Cryptocurrency facilitates crime and is part of ‘libertarian offensive’ – Jean-Michel Naulot
            "
781,government+policy,2014-01-24,Ireland to sell bonds as market digests Italian vote," Its system needs to move from corruption to honesty, opacity to transparency, discretion to predictability, and from looking after the privileged to serving the people.
            "
782,government+policy,2014-01-22,Philip Lane: From star pupil to ECB hopeful with Nobel potential," Democracies have to recognise their failures to counter a China that sees itself as an ideological rival
            "
783,government+policy,2014-01-22,Greece to receive better repayment terms for bailout loans," Eurogroup chief says governments need to use economic growth to create ‘fiscal space’
            "
784,government+policy,2014-01-21,Leaving single market and customs union is incompatible with ensuring no borders," Outgoing German finance chief says central bank policies risk forming ‘new bubbles’
            "
785,government+policy,2014-01-21,Bitcoin: French economist predicts day of reckoning," Firms setting up in Ireland know under what laws they will operate
            "
786,government+policy,2014-01-10,Martin Wolf: Brazil’s crisis presents an opportunity," If current sterling weakness isn’t a full-blown crisis it is certainly a major headache for many companies
            "
787,government+policy,2014-01-10,West must face challenge of Xi’s Leninist autocracy," Fischer was speaking in advance of the release of minutes from a fed committee
            "
