P_ID,Name_Pestal,Date_Pestel,Headline_Pestel,Description_Pestel
4333,government+policy,2018-02-21,Economy forecast to grow by stronger-than-expected 4.7% this year," Bank of Ireland’s prediction more than one percentage point higher than official forecast
            "
4334,foreign+trade+policy,2018-02-21,Trump’s tax reforms ‘won’t affect US appetite for Ireland’," Employees reluctant to take up postings over lack of clarity on rights
            "
4335,Economic growth,2018-02-21,Economy forecast to grow by stronger-than-expected 4.7% this year," Bank of Ireland’s prediction more than one percentage point higher than official forecast
            "
4336,Exchange rates,2018-02-21,Economy forecast to grow by stronger-than-expected 4.7% this year," Bank of Ireland’s prediction more than one percentage point higher than official forecast
            "
4337,Inflation rates,2018-02-21,Economy forecast to grow by stronger-than-expected 4.7% this year," Bank of Ireland’s prediction more than one percentage point higher than official forecast
            "
4338,Unemployment rates,2018-02-21,Economy forecast to grow by stronger-than-expected 4.7% this year," Bank of Ireland’s prediction more than one percentage point higher than official forecast
            "
4339,government+policy,2018-02-22,"Brexit solution that avoids hard Border is possible, says James Wharton"," Keeping North within customs union irreconcilable with UK position, says ex-minister
            "
4340,Economic growth,2018-02-25,Brexit la-la land just gets madder and madder," Chris Johns: Detail-hating Brexiteers still don’t see the Border’s Bino potential
            "
4341,Interest rates,2018-02-25,Brexit la-la land just gets madder and madder," Chris Johns: Detail-hating Brexiteers still don’t see the Border’s Bino potential
            "
4342,government+policy,2018-02-26,Jeremy Corbyn ups the Brexit ante with customs stance," Cliff Taylor: For Irish businesses trying to plan for Brexit, the likely outcome here is still as clear as mud and the risk of a hard Brexit remains
            "
4343,Economic growth,2018-02-26,Wage growth in Irish economy accelerates to 2.5%," CSO figures show wages growing at fastest rate since recession
            "
4344,government+policy,2018-02-27,Fed chairman’s gradualist approach about to be tested," Janet Yellen’s succesor Jerome Powell has to deal with stock market volatility and inflation fears
            "
4345,Economic growth,2018-02-27,Powell hints at faster pace of rate rises," New Fed chairman’s upbeat economic assessment pushes dollar higher
            "
4346,Economic growth,2018-02-27,ECB could end bond buys this year: Weidmann," Bundesbank president has been persistent critic of scheme
            "
4347,Economic growth,2018-02-27,Fed chairman’s gradualist approach about to be tested," Janet Yellen’s succesor Jerome Powell has to deal with stock market volatility and inflation fears
            "
4348,Economic growth,2018-02-27,"ECB could end bond buying this year, says Bundesbank president"," Jens Weidmann is persistent critic of purchase scheme
            "
4349,Interest rates,2018-02-27,Powell hints at faster pace of rate rises," New Fed chairman’s upbeat economic assessment pushes dollar higher
            "
4350,Interest rates,2018-02-27,Fed chairman’s gradualist approach about to be tested," Janet Yellen’s succesor Jerome Powell has to deal with stock market volatility and inflation fears
            "
4351,Inflation rates,2018-02-27,Powell hints at faster pace of rate rises," New Fed chairman’s upbeat economic assessment pushes dollar higher
            "
4352,Inflation rates,2018-02-27,Fed chairman’s gradualist approach about to be tested," Janet Yellen’s succesor Jerome Powell has to deal with stock market volatility and inflation fears
            "
4353,Unemployment rates,2018-02-27,Powell hints at faster pace of rate rises," New Fed chairman’s upbeat economic assessment pushes dollar higher
            "
4354,Unemployment rates,2018-02-27,Fed chairman’s gradualist approach about to be tested," Janet Yellen’s succesor Jerome Powell has to deal with stock market volatility and inflation fears
            "
4355,Economic growth,2018-03-01,Are we finally exiting the era of sluggish wage growth?," Central Statistics Office data highlights pick-up in wage growth as labour market tightens
            "
4356,Economic growth,2018-03-02,Has Donald Trump just fired the first shot in a trade war?," Cliff Taylor: US president has imposed tariffs on imported steel and aluminium
            "
4357,Economic growth,2018-03-02,"Increase in mortgage lending not a risk to economy, says Central Bank"," Central Bank says house price growth at over 12% not unjustified given economic developments
            "
4358,foreign+trade+policy,2018-03-04,Budget 2018 main points: everything you need to know," Gideon Rachman: It’s all gone pear shaped in Brexit-land
            "
4359,government+policy,2018-03-05,China targets GDP growth of 6.5% while moving to cut debt," Premier Li wary of looming trade war with US as he targets risks to financial system in opening work report
            "
4360,government+policy,2018-03-05,"Greece’s market return may be imminent, say bankers and investors"," Expectations of softer Brexit policy help check slump in pound   
            "
4361,foreign+trade+policy,2018-03-05,Wolfgang Münchau: Germany and UK interests look to align over Brexit," Caveat: Seeds of UK’s EU exit were sown in empty rhetoric of 1980s university debates
            "
4362,Economic growth,2018-03-05,China targets GDP growth of 6.5% while moving to cut debt," Premier Li wary of looming trade war with US as he targets risks to financial system in opening work report
            "
4363,Economic growth,2018-03-05,Cutting gender pay gap could boost OECD economies by $6 trillion," Paying women less than their male counterparts could be hampering growth
            "
4364,Economic growth,2018-03-05,Consumer sentiment falls as consumers fail to really feel recovery," Latest KBC Bank/ESRI consumer sentiment index shows decline in month of February
            "
4365,Research+development,2018-03-05,Cutting gender pay gap could boost OECD economies by $6 trillion," Paying women less than their male counterparts could be hampering growth
            "
4366,Economic growth,2018-03-07,"Irish budget too reliant on uncertain sources, EU Commission warns"," New analysis highlights use of State for ‘aggressive tax planning’ by multinationals
            "
4367,Economic growth,2018-03-07,Europe points finger at Ireland over tax avoidance," Rules on royalties cited as example than can allow companies aggressively cut tax bills
            "
4368,Economic growth,2018-03-08,ECB ever so slowly edges closer to interest rates rise," Cliff Taylor: Irish borrowers could be hit in 2019 as bank continues to retreat from emergency measures
            "
4369,Economic growth,2018-03-08,Ireland failing on health and underperforming on housing – OECD," Agency’s latest report on State notes strength of recovery but highlights challenges
            "
4370,Interest rates,2018-03-08,ECB ever so slowly edges closer to interest rates rise," Cliff Taylor: Irish borrowers could be hit in 2019 as bank continues to retreat from emergency measures
            "
4371,Interest rates,2018-03-08,Ireland receives €2.8 bn bids for bonds," NTMA issued bonds due in 2020 and 10-year bonds
            "
4372,Inflation rates,2018-03-08,"Overall OECD assessment is positive, but caveats jump out"," OECD highlighting of housing and hospital waiting time will rankle with Government
            "
4373,Inflation rates,2018-03-08,ECB ever so slowly edges closer to interest rates rise," Cliff Taylor: Irish borrowers could be hit in 2019 as bank continues to retreat from emergency measures
            "
4374,government+policy,2018-03-09,New data protection regime could hamper vital research," Without access to proper data wrong policy levers might be applied
            "
4375,Economic growth,2018-03-09,"Homes of nearly 8,200 Irish mortgage holders repossessed since crash"," Central Bank governor reveals extent of house repossession in Ireland since crisis
            "
4376,Interest rates,2018-03-09,New data protection regime could hamper vital research," Without access to proper data wrong policy levers might be applied
            "
4377,Research+development,2018-03-09,New data protection regime could hamper vital research," Without access to proper data wrong policy levers might be applied
            "
4378,climate,2018-03-09,"Homes of nearly 8,200 Irish mortgage holders repossessed since crash"," Central Bank governor reveals extent of house repossession in Ireland since crisis
            "
4379,government+policy,2018-03-12,Multinationals pay lower taxes than a decade ago," Effective rates have fallen 9 per cent since the financial crisis
            "
4380,Interest rates,2018-03-12,London house prices are dropping at the fastest pace since 2009," Capital’s most expensive areas see the biggest declines
            "
4381,Interest rates,2018-03-12,Multinationals pay lower taxes than a decade ago," Effective rates have fallen 9 per cent since the financial crisis
            "
4382,Inflation rates,2018-03-12,London house prices are dropping at the fastest pace since 2009," Capital’s most expensive areas see the biggest declines
            "
4383,copyright+and+patent+laws,2018-03-12,Multinationals pay lower taxes than a decade ago," Effective rates have fallen 9 per cent since the financial crisis
            "
4384,copyright+and+patent+laws,2018-03-12,Multinationals pay lower taxes than a decade ago," Effective rates have fallen 9 per cent since the financial crisis
            "
4385,copyright+and+patent+laws,2018-03-12,Multinationals pay lower taxes than a decade ago," Effective rates have fallen 9 per cent since the financial crisis
            "
4386,copyright+patent+laws,2018-03-12,Multinationals pay lower taxes than a decade ago," Effective rates have fallen 9 per cent since the financial crisis
            "
4387,copyright+patent+laws,2018-03-12,Multinationals pay lower taxes than a decade ago," Effective rates have fallen 9 per cent since the financial crisis
            "
4388,copyright+patent+laws,2018-03-12,Multinationals pay lower taxes than a decade ago," Effective rates have fallen 9 per cent since the financial crisis
            "
4389,Economic growth,2018-03-14,"Employment now just 12,000 below all-time peak"," New CSO figures highlights sharp acceleration in employment in 2017
            "
4390,Exchange rates,2018-03-14,Talent shortage drives wage growth in IT sector," Research by Enterprise Ireland and Investec highlights shortage of skilled IT staff
            "
4391,Inflation rates,2018-03-14,Talent shortage drives wage growth in IT sector," Research by Enterprise Ireland and Investec highlights shortage of skilled IT staff
            "
4392,Unemployment rates,2018-03-14,"Employment now just 12,000 below all-time peak"," New CSO figures highlights sharp acceleration in employment in 2017
            "
4393,Population+growth+rate,2018-03-14,"Employment now just 12,000 below all-time peak"," New CSO figures highlights sharp acceleration in employment in 2017
            "
4394,Economic growth,2018-03-15,Bumper Irish growth rate comes with health warning," Latest GDP rate of 7.8% was more than three times the euro area average
            "
4395,Economic growth,2018-03-15,Peak employment isn’t all it’s cracked up to be," CSO statisticians caution about putting too muck stock in peak employment number
            "
4396,Population+growth+rate,2018-03-15,Peak employment isn’t all it’s cracked up to be," CSO statisticians caution about putting too muck stock in peak employment number
            "
4397,government+policy,2018-03-16,Meet the Brexit negotiators: David Davis and Michel Barnier," The men in charge of negotiating Britain’s exit from the EU are divided by culture, politics and personality but united on one thing — they need to finish the job
            "
4398,foreign+trade+policy,2018-03-16,Only sane route for Brexit is taking the Norway option," Beijing responds to US inquiry into China’s alleged theft of intellectual property
            "
4399,Economic growth,2018-03-16,New €150m fund to support Irish companies growing in China," Sino Irish fund will focus on high growth technology firms, will also help Chinese firms grow in Ireland
            "
4400,Economic growth,2018-03-17,Give me a crash course in ... Irish economic growth," CSO data shows the economy is booming again – but how reliable are the figures?
            "
4401,Population+growth+rate,2018-03-17,Give me a crash course in ... Irish economic growth," CSO data shows the economy is booming again – but how reliable are the figures?
            "
4402,Economic growth,2018-03-20,Central Bank leaves controls on bank credit unchanged," Bank acknowledges growth in some area but say credit conditions remain subdued
            "
4403,government+policy,2018-03-21,What to look for at the Federal Reserve meeting," Jay Powell is widely expected to preside over his first interest rate increase
            "
4404,Economic growth,2018-03-21,Fed raises interest rates as it points to stronger US growth," Central bank raises federal funds target range as it forecasts acceleration in inflation
            "
4405,Economic growth,2018-03-21,What to look for at the Federal Reserve meeting," Jay Powell is widely expected to preside over his first interest rate increase
            "
4406,Interest rates,2018-03-21,Fed raises interest rates as it points to stronger US growth," Central bank raises federal funds target range as it forecasts acceleration in inflation
            "
4407,Interest rates,2018-03-21,What to look for at the Federal Reserve meeting," Jay Powell is widely expected to preside over his first interest rate increase
            "
4408,Inflation rates,2018-03-21,Fed raises interest rates as it points to stronger US growth," Central bank raises federal funds target range as it forecasts acceleration in inflation
            "
4409,Inflation rates,2018-03-21,What to look for at the Federal Reserve meeting," Jay Powell is widely expected to preside over his first interest rate increase
            "
4410,Unemployment rates,2018-03-21,Fed raises interest rates as it points to stronger US growth," Central bank raises federal funds target range as it forecasts acceleration in inflation
            "
4411,Unemployment rates,2018-03-21,What to look for at the Federal Reserve meeting," Jay Powell is widely expected to preside over his first interest rate increase
            "
4412,Economic growth,2018-03-22,New Fed chairman plays it safe in debut," Less detailed and informative in his analysis than predecessor Janet Yellen
            "
4413,Interest rates,2018-03-22,New Fed chairman plays it safe in debut," Less detailed and informative in his analysis than predecessor Janet Yellen
            "
4414,Inflation rates,2018-03-22,New Fed chairman plays it safe in debut," Less detailed and informative in his analysis than predecessor Janet Yellen
            "
4415,Unemployment rates,2018-03-22,New Fed chairman plays it safe in debut," Less detailed and informative in his analysis than predecessor Janet Yellen
            "
4416,government+policy,2018-03-23,Stocks find some support after China-linked jitters," Beijing responds to Trump move by unveiling plans for tariffs on US imports
            "
4417,government+policy,2018-03-24,General higher rates may undo new dawn for variable mortgage holders," Wedge between rates here and elsewhere may shrink just as ECB starts raising rates
            "
4418,Interest rates,2018-03-24,General higher rates may undo new dawn for variable mortgage holders," Wedge between rates here and elsewhere may shrink just as ECB starts raising rates
            "
4419,Inflation rates,2018-03-24,General higher rates may undo new dawn for variable mortgage holders," Wedge between rates here and elsewhere may shrink just as ECB starts raising rates
            "
4420,Economic growth,2018-03-25,Stock markets have more to be nervous about than just a trade war," Chris Johns: Angst at globalisation is at the heart of Trump’s appeal, Brexit and general populism
            "
4421,Economic growth,2018-03-27,"Erosion of competitiveness now more severe than during Celtic Tiger, warns Ibec"," Chief executive Danny McCoy says Ireland is in danger of squandering economic turnaround
            "
4422,Research+development,2018-03-27,"Erosion of competitiveness now more severe than during Celtic Tiger, warns Ibec"," Chief executive Danny McCoy says Ireland is in danger of squandering economic turnaround
            "
4423,foreign+trade+policy,2018-03-29,"Paradoxically, only hope for UK is to become more European"," French president wants to turn the euro zone into a more integrated body
            "
4424,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4425,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4426,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4427,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4428,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4429,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4430,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4431,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4432,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4433,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4434,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4435,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4436,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4437,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4438,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4439,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4440,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4441,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4442,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4443,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4444,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4445,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4446,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4447,technological+change,2018-03-29,How China can avoid a trade war with the US," Martin Wolf: Beijing must recognise the shift in American perceptions and make some concessions
            "
4448,Economic growth,2018-03-30,Is Ireland’s booming economy just an illusion?," Strongest economic growth in Europe is delivering jobs-rich but low-wage recovery
            "
4449,Unemployment rates,2018-03-30,Is Ireland’s booming economy just an illusion?," Strongest economic growth in Europe is delivering jobs-rich but low-wage recovery
            "
4450,Research+development,2018-03-30,Eggscessive consumption and the Brexit ‘evolution clause’," Planet Business: Meet the lottery winner who chose weekly pay over a lump sum
            "
4451,government+policy,2018-03-31,Savills says no need for incentives on property purchase," Company says no evidence that investment is being choked off by higher costs
            "
4452,government+policy,2018-04-02,May has plans for ‘customs partnership’ to solve Border dilemma," Trade experts say proposed scheme is challenging and would take years to implement
            "
4453,Economic growth,2018-04-03,Cash buyers lead the charge as Ireland’s property woes continue," Partial slowdown in headline inflation provide little comfort for those hoping to buy
            "
4454,Interest rates,2018-04-03,NTMA to hold two debt auctions in coming quarter," Agency publishes latest issuance timetable
            "
4455,weather,2018-04-04,Weaker income tax receipts push Government finances off target," Department insists underlying trend remains positive, while VAT take also swells
            "
4456,Economic growth,2018-04-06,Trade dispute escalates as Trump threatens $100bn more in China tariffs," US financial markets suffer in after-market trading
            "
4457,Interest rates,2018-04-06,US job gains smallest in six months as wage growth picks up," Nonfarm payrolls increased by 103,000 in March as construction and retail sectors shed jobs
            "
4458,Inflation rates,2018-04-06,US job gains smallest in six months as wage growth picks up," Nonfarm payrolls increased by 103,000 in March as construction and retail sectors shed jobs
            "
4459,Unemployment rates,2018-04-06,US job gains smallest in six months as wage growth picks up," Nonfarm payrolls increased by 103,000 in March as construction and retail sectors shed jobs
            "
4460,Population+growth+rate,2018-04-06,US job gains smallest in six months as wage growth picks up," Nonfarm payrolls increased by 103,000 in March as construction and retail sectors shed jobs
            "
4461,weather,2018-04-06,US job gains smallest in six months as wage growth picks up," Nonfarm payrolls increased by 103,000 in March as construction and retail sectors shed jobs
            "
4462,Economic growth,2018-04-07,Lose-lose situation for Ireland if US-China trade war breaks out," Cantillon: With Trump upping the ante on tariffs, we could be caught in the crossfire
            "
4463,government+policy,2018-04-08,Xi Jinping to outline economic reforms amid trade tension," Trump trade tariffs limit room for manoeuvre as hardliners argue against change
            "
4464,foreign+trade+policy,2018-04-08,Irish whiskey set to benefit from China’s move on import taxes," American Chamber says our reputation as a location of choice it at an all-time high
            "
4465,Economic growth,2018-04-08,Sharing wealth is the best antidote to populism," Chris Johns: As a first step to cutting income inequality, let’s make pensions mandatory
            "
4466,Population+growth+rate,2018-04-08,Sharing wealth is the best antidote to populism," Chris Johns: As a first step to cutting income inequality, let’s make pensions mandatory
            "
4467,government+policy,2018-04-10,NTMA filling its boots with cheap money," Cantillon: State agency prepares to raise €3bn by selling a 15-year bond to investors
            "
4468,Interest rates,2018-04-10,NTMA filling its boots with cheap money," Cantillon: State agency prepares to raise €3bn by selling a 15-year bond to investors
            "
4469,Research+development,2018-04-10,"Renters living near Dart or Luas stops pay more, survey finds"," Premium of up to €3,360 a year for being adjacent to rail lines in Dublin
            "
4470,government+policy,2018-04-11,House prices forecast to rise by 10% in 2018," Friends First economist Jim Power sees no sign of slowdown in property market
            "
4471,government+policy,2018-04-11,If UK leaves Customs Union a customs border is inevitable," Martin Wolf: Theresa May promised strength and stability – she has delivered the opposite
            "
4472,Economic growth,2018-04-11,Brexit: Eurostat starts excluding UK from EU statistics," Agency says move responds to ‘strong demand’ for data leaving out UK
            "
4473,Economic growth,2018-04-11,House prices forecast to rise by 10% in 2018," Friends First economist Jim Power sees no sign of slowdown in property market
            "
4474,Population+growth+rate,2018-04-11,Brexit: Eurostat starts excluding UK from EU statistics," Agency says move responds to ‘strong demand’ for data leaving out UK
            "
4475,Economic growth,2018-04-12,Irish workers in line for biggest pay hike since crash," Central Bank forecasts wage growth of nearly 7% over next two years
            "
4476,Exchange rates,2018-04-12,Irish workers in line for biggest pay hike since crash," Central Bank forecasts wage growth of nearly 7% over next two years
            "
4477,Inflation rates,2018-04-12,Irish workers in line for biggest pay hike since crash," Central Bank forecasts wage growth of nearly 7% over next two years
            "
4478,Unemployment rates,2018-04-12,Irish workers in line for biggest pay hike since crash," Central Bank forecasts wage growth of nearly 7% over next two years
            "
4479,government+policy,2018-04-13,Tighter focus means National Planning Framework more likely to deliver," Only by understanding the preferences of people and business can public policy influence development
            "
4480,Population+growth+rate,2018-04-13,Tighter focus means National Planning Framework more likely to deliver," Only by understanding the preferences of people and business can public policy influence development
            "
4481,Economic growth,2018-04-14,We’re awash with cash again – so why aren’t we spending it?," Cantillon: Household income is rising, but consumers are cautious with the purse strings
            "
4482,Disposable income,2018-04-14,We’re awash with cash again – so why aren’t we spending it?," Cantillon: Household income is rising, but consumers are cautious with the purse strings
            "
4483,Economic growth,2018-04-15,China stealing from the US? Nothing new in pinching each other’s best ideas," Chris Johns: Trump may rail, but intellectual property theft litters history
            "
4484,Economic growth,2018-04-17,"Little scope for tax cuts in Budget 2019, Department of Finance warns"," Latest Stability Programme Update raises 2018 growth forecast sharply to 5.6%
            "
4485,government+policy,2018-04-18,"Global growth is built, alas, on shaky foundations"," Martin Wolf: There are many variables which could undermine the fragile recovery
            "
4486,government+policy,2018-04-18,UK inflation unexpectedly cools to one-year low of 2.5%," Shift raises doubts over whether Bank of England will raise interest rates in May
            "
4487,Economic growth,2018-04-18,"Global growth is built, alas, on shaky foundations"," Martin Wolf: There are many variables which could undermine the fragile recovery
            "
4488,Interest rates,2018-04-18,UK inflation unexpectedly cools to one-year low of 2.5%," Shift raises doubts over whether Bank of England will raise interest rates in May
            "
4489,Inflation rates,2018-04-18,"Global growth is built, alas, on shaky foundations"," Martin Wolf: There are many variables which could undermine the fragile recovery
            "
4490,Inflation rates,2018-04-18,UK inflation unexpectedly cools to one-year low of 2.5%," Shift raises doubts over whether Bank of England will raise interest rates in May
            "
4491,Unemployment rates,2018-04-18,"Global growth is built, alas, on shaky foundations"," Martin Wolf: There are many variables which could undermine the fragile recovery
            "
4492,Unemployment rates,2018-04-18,"Minimum wage rise in 2016 did not increase joblessness, study finds"," ESRI study suggests move reduced average hours worked by minimum wage employees
            "
4493,Interest rates,2018-04-20,Brexit uncertainty ‘prevents surge’ in UK economy," Bank of England governor Mark Carney has unexpectedly dampened expectations
            "
4494,Inflation rates,2018-04-20,Brexit uncertainty ‘prevents surge’ in UK economy," Bank of England governor Mark Carney has unexpectedly dampened expectations
            "
4495,level+of+innovation,2018-04-20,"A women-only island, abandoned takeovers and special training at Starbucks"," Planet Business: Martin Sorrell’s golden goodbye and Bill Gates’s hopeful outlook
            "
4496,Economic growth,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4497,Population+growth+rate,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4498,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4499,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4500,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4501,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4502,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4503,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4504,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4505,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4506,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4507,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4508,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4509,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4510,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4511,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4512,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4513,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4514,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4515,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4516,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4517,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4518,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4519,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4520,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4521,technological+change,2018-04-21,"Two years on, Manchester fights back against Brexit"," ‘We’re trying to look for the opportunities that may come from Brexit rather than the challenges’
            "
4522,foreign+trade+policy,2018-04-22,Is construction   Ireland’s economic cuckoo? ," Big cut in US corporation tax rate would lessen incentive to invest abroad   
            "
4523,Economic growth,2018-04-22,The UK government has made Brexit promises it cannot keep," The UK continues to believe EU will back down and accept a magical solution offered by yet-to-be invented tech
            "
4524,Interest rates,2018-04-22,The UK government has made Brexit promises it cannot keep," The UK continues to believe EU will back down and accept a magical solution offered by yet-to-be invented tech
            "
4525,Inflation rates,2018-04-22,The UK government has made Brexit promises it cannot keep," The UK continues to believe EU will back down and accept a magical solution offered by yet-to-be invented tech
            "
4526,government+policy,2018-04-23,US government bonds approach major milestones," Uutlook for at least two and possibly three more rate rises this year has lifted yield on the more policy-sensitive two-year bonds
            "
4527,Economic growth,2018-04-23,Central Bank highlights ‘build up’ of systemic risk in Irish economy," Bank officials pinpoint big risk factors facing the Irish economy
            "
4528,Economic growth,2018-04-24,Lane follows Brown and promises no return to boom and bust," Headline growth of close to 8% last year is not a stable level of growth
            "
4529,Economic growth,2018-04-26,Draghi to play down concerns as ECB keeps policy unchanged," European Central Bank chief expected to argue that the economy is humming
            "
4530,Interest rates,2018-04-26,Draghi to play down concerns as ECB keeps policy unchanged," European Central Bank chief expected to argue that the economy is humming
            "
4531,Inflation rates,2018-04-26,Draghi to play down concerns as ECB keeps policy unchanged," European Central Bank chief expected to argue that the economy is humming
            "
4532,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4533,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4534,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
4535,technological+change,2018-04-26,Timber industry sees Border checks as part of solution in hard Brexit," Copy measures in use on US-Canadian and Norwegian-Swedish borders, report suggests
            "
